,player_id,hand,dob,ioc,rank,points,wins,losses,total,name
90,105077,L,19880117,ESP,43,1093,256.0,282.0,538.0,Albert Ramos
91,105085,U,19880202,UKR,1816,1,2.0,8.0,10.0,Artem Smirnov
92,105091,R,19880210,GER,949,12,0.0,2.0,2.0,Peter Torebko
93,105132,R,19880329,EST,981,11,24.0,39.0,63.0,Jurgen Zopp
94,105138,R,19880414,ESP,20,1880,357.0,215.0,572.0,Roberto Bautista Agut
95,105147,R,19880518,JPN,433,92,36.0,66.0,102.0,Tatsuma Ito
96,105155,R,19880527,POR,324,153,17.0,30.0,47.0,Pedro Sousa
97,105156,U,19880530,BOL,612,42,4.0,11.0,15.0,Federico Zeballos
98,105161,R,19880607,SUI,1560,2,2.0,5.0,7.0,Yann Marti
99,105163,R,19880610,FRA,771,23,1.0,3.0,4.0,Gleb Sakharov
100,105166,R,19880615,CAN,377,115,19.0,45.0,64.0,Peter Polansky
101,105173,L,19880629,FRA,70,858,228.0,275.0,503.0,Adrian Mannarino
102,105180,L,19880705,BRA,238,238,0.0,1.0,1.0,Daniel Dutra Da Silva
103,105181,R,19880712,SRB,270,199,1.0,2.0,3.0,Miljan Zekic
104,105208,R,19880830,LAT,373,116,245.0,239.0,484.0,Ernests Gulbis
105,105216,R,19880918,JPN,274,195,56.0,90.0,146.0,Yuichi Sugita
106,105217,R,19880919,NED,1614,2,70.0,94.0,164.0,Thiemo De Bakker
107,105223,R,19880923,ARG,770,23,443.0,178.0,621.0,Juan Martin del Potro
108,105226,R,19880927,HUN,279,187,28.0,25.0,53.0,Attila Balazs
109,105227,R,19880928,CRO,17,2370,569.0,321.0,890.0,Marin Cilic
110,105271,L,19890120,ECU,1416,3,4.0,5.0,9.0,Gonzalo Escobar
111,105273,R,19890102,PER,1088,8,15.0,15.0,30.0,Mauricio Echazu
112,105283,R,19890130,ESP,1210,5,0.0,4.0,4.0,Gerard Granollers
113,105292,R,19890207,COL,469,80,18.0,43.0,61.0,Alejandro Gonzalez
114,105311,R,19890330,POR,63,936,208.0,245.0,453.0,Joao Sousa
115,105331,L,19890507,ROU,1397,3,0.0,4.0,4.0,Petru Alexandru Luncanu
116,105332,R,19890508,FRA,80,784,240.0,284.0,524.0,Benoit Paire
117,105339,R,19890521,CHN,486,73,5.0,8.0,13.0,Yan Bai
118,105341,R,19890526,ITA,191,318,27.0,63.0,90.0,Thomas Fabbiano
119,105349,R,19890604,FIN,979,11,8.0,16.0,24.0,Harri Heliovaara
120,105357,R,19890614,AUS,93,698,116.0,142.0,258.0,John Millman
121,105359,R,19890615,TPE,249,222,10.0,21.0,31.0,Jason Jung
122,105373,L,19890711,SVK,562,53,147.0,156.0,303.0,Martin Klizan
123,105376,R,19890715,GER,95,682,74.0,93.0,167.0,Peter Gojowczyk
124,105379,R,19890718,SLO,161,361,137.0,156.0,293.0,Aljaz Bedene
125,105385,L,19890723,USA,601,45,126.0,190.0,316.0,Donald Young
126,105406,R,19890830,ITA,397,108,3.0,4.0,7.0,Roberto Marcora
